ID,points,player,possessions,team_pace,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER
1,1893.0,player1,1251.8,97.8,63.0,33.9,0.569,17.2,11.5,26.1,4.7,23.3,7.8,10.9
2,1386.0,player2,1282.5,110.5,58.0,32.5,0.511,24.8,9.7,26.9,6.1,0.9,10.7,27.3
3,1405.0,player3,1252.3,105.8,55.0,36.3,0.605,25.7,13.9,28.1,4.5,4.9,1.8,16.594640399695624
4,1282.0,player4,1235.9,100.7,54.0,37.6,0.636,29.5,11.0,22.3,4.8,4.6,5.6,22.35
5,1721.0,player5,1254.0,105.7,59.0,30.5,0.589,22.8,9.9,24.6,1.2,8.4,12.1,28.38
6,1004.0,player6,1322.4,102.1,57.0,36.3,0.574,20.3,13.5,31.0,1.2,20.5,3.4,9.83
7,1920.0,player7,1207.6,109.8,55.0,37.0,0.573,26.0,13.1,30.7,0.0,10.3,-2.6,8.71
8,1353.0,player8,1348.1,112.2,57.0,35.15714285714285,0.574,24.4,11.3,26.3,5.5,5.8,-2.2,8.710806378346465
10,1468.0,player10,1400.9,93.7,61.0,35.6,0.547,22.9,12.2,22.7,5.8,6.4,-2.9,3.108387728771323
11,1856.0,player11,1303.8,93.4,55.0,33.6,0.563,28.9,14.7,26.7,1.4,17.3,4.3,9.67
12,1058.0,player12,1231.5,99.4,63.0,32.8,0.55,25.1,12.9,27.2,2.1,12.1,11.4,22.97
13,1452.0,player13,1246.1,103.6,59.529411764705884,31.7,0.584,32.4,14.7,16.5,3.2,19.0,4.1,3.3924194543199455
14,1438.0,player14,1499.6,108.1,60.0,35.0,0.569,28.6,12.2,36.2,4.9,6.0,7.4,27.57
15,1782.0,player15,1329.0,104.6,51.0,35.15714285714285,0.59,26.5,9.9,29.7,3.1,29.4,5.5,9.38
16,1276.0,player16,1257.5,89.7,58.0,32.8,0.5720000000000001,15.5,16.2,23.8,3.4,15.4,6.0,9.49
17,1486.0,player17,1343.6,100.6,59.529411764705884,34.9,0.603,26.2,11.1,36.7,3.0,14.3,5.3,22.60932187993627
18,1326.0,player18,1542.0,107.8,52.0,31.8,0.583,25.3,11.7,30.6,3.3,9.9,5.3,19.78
19,1535.0,player19,1336.2,104.0,56.0,35.4,0.636,27.2,10.8,29.9,0.7,5.6,7.9,30.44
21,1276.0,player21,1354.9,101.2,50.0,35.15714285714285,0.56,21.4,12.4,28.6,2.6,9.3,10.3,24.23
22,1784.0,player22,1287.1,101.3,59.0,33.8,0.601,27.2,12.4,21.8,2.9,5.2,9.9,25.15
23,1729.0,player23,1205.0,103.8,61.0,35.15714285714285,0.645,20.6,13.1,31.5,4.0,12.0,5.2,21.25569332381733
24,1639.0,player24,1287.4,105.2,52.0,35.4,0.57,32.7,15.0,26.6,1.6,5.0,9.4,25.12
26,1370.0,player26,1384.7,103.3,59.529411764705884,34.2,0.5710000000000001,14.8,9.9,33.1,2.4,16.3,3.7,15.04
27,1497.0,player27,1410.9,98.3,57.0,34.1,0.613,15.4,10.0,29.3,3.8,5.7,6.7,25.35
28,1313.0,player28,1420.5,105.0,48.0,35.1,0.569,19.0,10.9,29.2,4.6,17.7,5.2,12.938533390847407
29,1464.0,player29,1353.4,103.3,63.0,34.4,0.595,17.9,9.2,29.3,1.0,8.7,4.1,20.49
31,2049.0,tune_squad1,1434.0,110.0,64.0,38.8,0.619,31.5,14.9,35.5,8.3,17.6,12.8,28.44
32,1795.0,tune_squad2,1481.8,112.1,62.0,35.4,0.608,31.9,14.5,32.0,6.5,22.5,12.9,23.34
33,1805.0,tune_squad3,1509.9,108.6,64.0,35.4,0.622,27.9,13.9,36.0,5.9,27.7,12.2,22.41
34,1743.0,tune_squad4,1422.4,112.9,64.0,36.3,0.619,30.9,15.6,34.5,5.9,18.9,14.8,29.850844169203565
35,1963.0,tune_squad5,1539.1,117.4,59.529411764705884,35.15714285714285,0.633,32.3,16.2,34.0,5.9,19.8,13.1,27.16
36,2062.0,tune_squad6,1505.7,111.5,59.529411764705884,37.0,0.62,29.8,15.6,36.2,4.9,23.9,14.7,27.86
37,1845.0,tune_squad7,1435.7,113.1,69.0,36.9,0.634,33.2,14.0,36.5,4.1,21.5,16.4,34.26
38,1778.0,tune_squad8,1526.4,109.3,66.0,34.9,0.612,30.6,15.9,35.9,5.5,18.8,13.7,28.65
39,1901.0,tune_squad9,1444.1,109.7,67.0,36.5,0.609,27.2,14.8,35.5,5.0,21.8,8.9,20.12
42,1631.0,tune_squad12,1465.7,110.1,66.0,37.5,0.613,28.4,14.4,35.7,6.5,20.7,14.0,28.4
43,1828.0,tune_squad13,1507.2,112.7,64.0,36.5,0.618,31.3,14.0,34.9,5.9,21.3,14.5,29.09262530921689
44,1821.0,tune_squad14,1443.7,118.8,66.0,36.6,0.609,27.3,13.5,35.8,7.0,23.8,11.5,22.96
45,1740.0,tune_squad15,1443.9,114.1,68.0,37.1,0.611,26.6,15.2,29.3,8.3,17.7,11.1,21.22
46,1993.0,tune_squad16,1459.0,112.5,59.529411764705884,36.9,0.627,30.4,15.0,33.7,6.3,19.3,14.1,28.76
